Product,Price,Old Price,URL,Platform
DELL Optiplex 3040 SFF Core i5-6500 I 8Go I 256Go SSD ( Remis à Neuf ),999.0,1700.0,https://www.jumia.ma/dell-optiplex-3040-sff-core-i5-6500-i-8go-i-256go-ssd-remis-a-neuf-67059851.html,Jumia
"Lenovo IdeaPad Slim 3 - 15,6"" - 8GB + 512GB - 15IRH8 - Neuf + Sacoche T210 - 2 Ans de Garantie",6499.0,7499.0,https://www.jumia.ma/lenovo-ideapad-slim-3-156-8gb-512gb-15irh8-neuf-sacoche-t210-2-ans-de-garantie-65804831.html,Jumia
Hp 14'' - ELITEBOOK 840 - 8Go Ram - 256 SSD - Windows - Silver,2299.0,4199.0,https://www.jumia.ma/pc-portable-hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remise-a-neuf-hp-mpg1439488.html,Jumia
DELL Pc OptiPlex i5 4éme Gén 8Go Ram 500Go HDD + Souris et Clavier - Remis à Neuf,719.0,1300.0,https://www.jumia.ma/dell-pc-optiplex-i5-4eme-gen-8go-ram-500go-hdd-souris-et-clavier-remis-a-neuf-64634667.html,Jumia
Lenovo ThinkCentre M73 SFF - 4Go RAM / 250Go HDD - Idéal pour Bureautique,449.0,1499.0,https://www.jumia.ma/lenovo-thinkcentre-m73-sff-4go-ram-250go-hdd-ideal-pour-bureautique-67105491.html,Jumia
Hp PC GAMER i5 6éme Gén - 16GB RAM - 256GB SSD / 500GB HDD - NVIDIA GT 710 2GB - Windows 10 - remis à neuf,2480.0,3500.0,https://www.jumia.ma/hp-pc-gamer-i5-6eme-gen-16gb-ram-256gb-ssd-500gb-hdd-nvidia-gt-710-2gb-windows-10-remis-a-neuf-63593475.html,Jumia
"Lenovo Thinkcentre M710s G4500 - 8 Go , 500Go Avec Ecran 22"" ThinkVision T22i-10 (Remis à Neuf)",1799.0,2999.0,https://www.jumia.ma/lenovo-thinkcentre-m710s-g4500-8-go-500go-avec-ecran-22-thinkvision-t22i-10-remis-a-neuf-48383322.html,Jumia
"DELL Optiplex 3020 MT Intel® Core™ i5- 4th Gen - RAM 8Go , HDD 500Go (Remis à Neuf)",749.0,1799.0,https://www.jumia.ma/dell-optiplex-3020-mt-intelr-coretm-i5-4th-gen-ram-8go-hdd-500go-remis-a-neuf-47998231.html,Jumia
"Hp Ordinateur portable 14""- Intel® Core™ i5-1335U 8 Go - 512 Go - Windows 11 - AZERTY",7443.0,9641.0,https://www.jumia.ma/hp-ordinateur-portable-14-intelr-coretm-i5-1335u-8-go-512-go-windows-11-azerty-65139388.html,Jumia
DELL Unité Central OPTIPLEX 9020 Intel Core i7 4790-3.6GHz 4éme Génération 8 Go RAM- 128Go SSD-remis à neuf,1390.0,1990.0,https://www.jumia.ma/dell-unite-central-optiplex-9020-intel-core-i7-4790-3.6ghz-4eme-generation-8-go-ram-128go-ssd-remis-a-neuf-64784092.html,Jumia
